customer_id,customer_name,email,registration_date,customer_type
1,Customer_1,cust1@example.com,2026-02-24 15:57:43.621779,REGULAR
2,Customer_2,cust2@example.com,2026-05-19 15:57:43.621802,VIP
3,Customer_3,cust3@example.com,2026-02-11 15:57:43.621806,PREMIUM
4,Customer_4,cust4@example.com,2025-09-30 15:57:43.621808,PREMIUM
5,Customer_5,cust5@example.com,2025-10-23 15:57:43.621811,PREMIUM
6,Customer_6,cust6@example.com,2026-02-14 15:57:43.621813,VIP
7,Customer_7,cust7@example.com,2026-04-13 15:57:43.621815,VIP
8,Customer_8,cust8@example.com,2025-09-02 15:57:43.621816,VIP
9,Customer_9,cust9@example.com,2026-03-11 15:57:43.621818,REGULAR
10,Customer_10,cust10@example.com,2025-12-21 15:57:43.621820,REGULAR
11,Customer_11,cust11@example.com,2025-10-15 15:57:43.621821,VIP
12,Customer_12,cust12@example.com,2025-09-09 15:57:43.621823,VIP
13,Customer_13,cust13@example.com,2025-11-24 15:57:43.621825,REGULAR
14,Customer_14,cust14@example.com,2025-08-18 15:57:43.621826,PREMIUM
15,Customer_15,cust15@example.com,2026-01-08 15:57:43.621828,VIP
16,Customer_16,cust16@example.com,2026-01-05 15:57:43.621830,PREMIUM
17,Customer_17,cust17@example.com,2025-07-29 15:57:43.621831,VIP
18,Customer_18,cust18@example.com,2025-11-26 15:57:43.621833,REGULAR
19,Customer_19,cust19@example.com,2025-11-07 15:57:43.621834,REGULAR
20,Customer_20,cust20@example.com,2025-11-27 15:57:43.621836,REGULAR
21,Customer_21,cust21@example.com,2026-05-09 15:57:43.621837,PREMIUM
22,Customer_22,cust22@example.com,2026-06-25 15:57:43.621839,VIP
23,Customer_23,cust23@example.com,2025-10-01 15:57:43.621840,PREMIUM
24,Customer_24,cust24@example.com,2026-05-05 15:57:43.621842,VIP
25,Customer_25,cust25@example.com,2025-08-30 15:57:43.621843,VIP
26,Customer_26,cust26@example.com,2025-09-21 15:57:43.621845,VIP
27,Customer_27,cust27@example.com,2026-06-02 15:57:43.621847,PREMIUM
28,Customer_28,cust28@example.com,2026-04-12 15:57:43.621848,REGULAR
29,Customer_29,cust29@example.com,2025-10-03 15:57:43.621850,VIP
30,Customer_30,cust30@example.com,2026-03-21 15:57:43.621851,PREMIUM
31,Customer_31,cust31@example.com,2025-10-15 15:57:43.621853,REGULAR
32,Customer_32,cust32@example.com,2026-01-21 15:57:43.621854,REGULAR
33,Customer_33,cust33@example.com,2026-06-25 15:57:43.621856,PREMIUM
34,Customer_34,cust34@example.com,2025-08-29 15:57:43.621857,VIP
35,Customer_35,cust35@example.com,2026-03-20 15:57:43.621859,VIP
36,Customer_36,cust36@example.com,2026-05-06 15:57:43.621860,VIP
37,Customer_37,cust37@example.com,2025-09-10 15:57:43.621862,PREMIUM
38,Customer_38,cust38@example.com,2026-02-27 15:57:43.621864,PREMIUM
39,Customer_39,cust39@example.com,2026-05-22 15:57:43.621865,VIP
40,Customer_40,cust40@example.com,2025-07-12 15:57:43.621867,REGULAR
41,Customer_41,cust41@example.com,2025-10-05 15:57:43.621868,REGULAR
42,Customer_42,cust42@example.com,2025-10-10 15:57:43.621870,REGULAR
43,Customer_43,cust43@example.com,2025-09-01 15:57:43.621871,REGULAR
44,Customer_44,cust44@example.com,2026-02-20 15:57:43.621873,REGULAR
45,Customer_45,cust45@example.com,2026-04-20 15:57:43.621874,VIP
46,Customer_46,cust46@example.com,2025-07-16 15:57:43.621876,REGULAR
47,Customer_47,cust47@example.com,2025-11-18 15:57:43.621877,REGULAR
48,Customer_48,cust48@example.com,2026-07-03 15:57:43.621879,VIP
49,Customer_49,cust49@example.com,2026-02-21 15:57:43.621880,VIP
50,Customer_50,invalid_email_no_domain,2025-08-30 15:57:43.621882,REGULAR
51,Customer_51,cust51@example.com,2026-02-10 15:57:43.621883,REGULAR
52,Customer_52,cust52@example.com,2025-07-16 15:57:43.621885,REGULAR
53,Customer_53,cust53@example.com,2026-06-11 15:57:43.621887,VIP
54,Customer_54,cust54@example.com,2025-10-09 15:57:43.621888,PREMIUM
55,Customer_55,cust55@example.com,2026-06-02 15:57:43.621890,VIP
56,Customer_56,cust56@example.com,2026-01-28 15:57:43.621891,REGULAR
57,Customer_57,cust57@example.com,2025-10-02 15:57:43.621893,VIP
58,Customer_58,cust58@example.com,2025-09-21 15:57:43.621894,VIP
59,Customer_59,cust59@example.com,2026-07-09 15:57:43.621896,REGULAR
60,Customer_60,cust60@example.com,2026-02-19 15:57:43.621897,PREMIUM
61,Customer_61,cust61@example.com,2026-05-12 15:57:43.621899,REGULAR
62,Customer_62,cust62@example.com,2026-06-22 15:57:43.621900,PREMIUM
63,Customer_63,cust63@example.com,2026-03-10 15:57:43.621902,REGULAR
64,Customer_64,cust64@example.com,2025-12-03 15:57:43.621903,PREMIUM
65,Customer_65,cust65@example.com,2025-11-30 15:57:43.621905,REGULAR
66,Customer_66,cust66@example.com,2026-01-27 15:57:43.621907,PREMIUM
67,Customer_67,cust67@example.com,2026-04-18 15:57:43.621908,VIP
68,Customer_68,cust68@example.com,2025-12-30 15:57:43.621909,REGULAR
69,Customer_69,cust69@example.com,2026-07-02 15:57:43.621911,VIP
70,Customer_70,cust70@example.com,2026-03-26 15:57:43.621912,REGULAR
71,Customer_71,invalid_email_no_domain,2026-07-02 15:57:43.621914,PREMIUM
72,Customer_72,cust72@example.com,2026-03-23 15:57:43.621915,PREMIUM
73,Customer_73,cust73@example.com,2025-08-09 15:57:43.621917,VIP
74,Customer_74,cust74@example.com,2026-01-29 15:57:43.621918,REGULAR
75,Customer_75,cust75@example.com,2025-07-25 15:57:43.621920,VIP
76,Customer_76,cust76@example.com,2026-01-19 15:57:43.621921,REGULAR
77,Customer_77,cust77@example.com,2025-08-19 15:57:43.621923,PREMIUM
78,Customer_78,cust78@example.com,2026-05-08 15:57:43.621925,PREMIUM
79,Customer_79,cust79@example.com,2026-03-03 15:57:43.621926,VIP
80,Customer_80,cust80@example.com,2025-11-03 15:57:43.621928,REGULAR
81,Customer_81,cust81@example.com,2026-05-10 15:57:43.621929,PREMIUM
82,Customer_82,cust82@example.com,2026-03-08 15:57:43.621931,REGULAR
83,Customer_83,cust83@example.com,2025-12-06 15:57:43.621932,REGULAR
84,Customer_84,cust84@example.com,2026-03-23 15:57:43.621934,PREMIUM
85,Customer_85,cust85@example.com,2026-02-26 15:57:43.621935,REGULAR
86,Customer_86,cust86@example.com,2025-08-13 15:57:43.621937,VIP
87,Customer_87,cust87@example.com,2025-12-25 15:57:43.621938,PREMIUM
88,Customer_88,cust88@example.com,2025-08-23 15:57:43.621940,REGULAR
89,Customer_89,cust89@example.com,2026-04-29 15:57:43.621941,PREMIUM
90,Customer_90,cust90@example.com,2025-11-10 15:57:43.621943,PREMIUM
91,Customer_91,cust91@example.com,2026-03-09 15:57:43.621944,PREMIUM
92,Customer_92,cust92@example.com,2026-02-24 15:57:43.621946,REGULAR
93,Customer_93,cust93@example.com,2026-04-09 15:57:43.621947,VIP
94,Customer_94,cust94@example.com,2025-09-23 15:57:43.621949,VIP
95,Customer_95,cust95@example.com,2025-08-30 15:57:43.621950,VIP
96,Customer_96,cust96@example.com,2025-12-25 15:57:43.621952,REGULAR
97,Customer_97,cust97@example.com,2025-12-19 15:57:43.621953,VIP
98,Customer_98,cust98@example.com,2025-08-26 15:57:43.621955,PREMIUM
99,Customer_99,cust99@example.com,2026-05-21 15:57:43.621956,REGULAR
100,Customer_100,cust100@example.com,2025-09-12 15:57:43.621958,PREMIUM
101,Customer_101,cust101@example.com,2026-01-04 15:57:43.621959,PREMIUM
